"year","variable","value"
1999,"5",287.6
2000,"5",210.9
2001,"5",149.6
2002,"5",891
2003,"5",543.1
2004,"5",1021.6
2005,"5",353.3
2006,"5",288.6
2007,"5",200.1
2008,"5",363
2009,"5",321.5
2010,"5",383.2
2011,"5",359.5
2012,"5",413.2
2013,"5",352.1
2014,"5",236.7
2015,"5",1018.7
2016,"5",491.2
2017,"5",467.9
2018,"5",435.3
1958,"6",422.1
1959,"6",536.9
1960,"6",573.7
1961,"6",574.2
1962,"6",451.1
1963,"6",382.8
1964,"6",230.3
1965,"6",448.5
1966,"6",342.4
1967,"6",599.9
1968,"6",350.4
1969,"6",563.2
1970,"6",489.9
1971,"6",546
1972,"6",506.8
1973,"6",401.5
1974,"6",469.9
1975,"6",580.8
1976,"6",389
1977,"6",748.3
1978,"6",508.3
1979,"6",484.9
1980,"6",641
1981,"6",434.8
1982,"6",549.9
1983,"6",328.9
1984,"6",336.5
1985,"6",614.4
1986,"6",518.9
1987,"6",314.8
1988,"6",206.2
1989,"6",480.8
1990,"6",549.6
1991,"6",370.9
1992,"6",304.3
1993,"6",331.1
1994,"6",483.9
1995,"6",235.4
1996,"6",349.9
1997,"6",245.2
1998,"6",438.7
1999,"6",408.1
2000,"6",539.6
2001,"6",757.8
2002,"6",591.1
2003,"6",516.1
2004,"6",393.9
2005,"6",205.4
2006,"6",645.3
2007,"6",284.9
2008,"6",345.6
2009,"6",413.2
2010,"6",349.8
2011,"6",464.9
2012,"6",304.2
2013,"6",473.6
2014,"6",545.5
2015,"6",654.6
2016,"6",308.4
2017,"6",397.1
2018,"6",552.5
1958,"7",309.8
1959,"7",460.9
1960,"7",369.2
1961,"7",609.3
1962,"7",465
1963,"7",354.4
1964,"7",450.5
1965,"7",914.9
1966,"7",397.6
1967,"7",616.8
1968,"7",503.2
1969,"7",356.6
1970,"7",382.1
1971,"7",486.2
1972,"7",740.7
1973,"7",445.5
1974,"7",588.7
1975,"7",250.6
1976,"7",1132
1977,"7",978.6
1978,"7",769.7
1979,"7",321.8
1980,"7",560
1981,"7",346.3
1982,"7",881.2
1983,"7",694.2
1984,"7",286.6
1985,"7",318
1986,"7",445.7
1987,"7",370.6
1988,"7",380.2
1989,"7",479.7
1990,"7",314.1
1991,"7",742.9
1992,"7",420.7
1993,"7",673.6
1994,"7",798.3
1995,"7",386.5
1996,"7",428.2
1997,"7",768.9
1998,"7",418.9
1999,"7",581.9
2000,"7",580.2
2001,"7",405
2002,"7",697.5
2003,"7",546.8
2004,"7",461.3
2005,"7",262.9
2006,"7",510.1
2007,"7",586.2
2008,"7",521.9
2009,"7",625.3
2010,"7",451.6
2011,"7",348.2
2012,"7",391.3
2013,"7",448.7
2014,"7",1292.6
2015,"7",733.8
2016,"7",589.4
2017,"7",307.1
2018,"7",1308.8
1958,"8",267
1959,"8",298.4
1960,"8",378.4
1961,"8",396
1962,"8",156.7
1963,"8",284.6
1964,"8",377.4
1965,"8",532.5
1966,"8",447.6
1967,"8",682
1968,"8",287.2
1969,"8",520.5
1970,"8",463.1
1971,"8",233.6
1972,"8",419.5
1973,"8",300.2
1974,"8",443.3
1975,"8",475
1976,"8",528.3
1977,"8",462.2
1978,"8",605.1
1979,"8",724.5
1980,"8",435.5
1981,"8",496.4
1982,"8",651.2
1983,"8",342.4
1984,"8",427.3
1985,"8",462.7
1986,"8",594.7
1987,"8",492.3
1988,"8",499
1989,"8",312.1
1990,"8",731.4
1991,"8",714
1992,"8",454.9
1993,"8",392.8
1994,"8",529.5
1995,"8",188.7
1996,"8",262.6
1997,"8",624.2
1998,"8",223
1999,"8",221.1
2000,"8",540.3
2001,"8",365.2
2002,"8",740.7
2003,"8",364.8
2004,"8",515.9
2005,"8",323.6
2006,"8",357.8
2007,"8",280
2008,"8",550.3
2009,"8",358.5
2010,"8",555.7
2011,"8",134.9
2012,"8",251.2
2013,"8",287.2
2014,"8",325.7
2015,"8",568.7
2016,"8",295.1
2017,"8",223.5
2018,"8",660.4
1958,"9",235.2
1959,"9",232.8
1960,"9",156.2
1961,"9",302.8
1962,"9",263.1
1963,"9",494.8
1964,"9",333.2
1965,"9",317.7
1966,"9",406.5
1967,"9",401.9
1968,"9",408.4
1969,"9",398.1
1970,"9",745.2
1971,"9",324.5
1972,"9",443.5
1973,"9",160.5
1974,"9",218
1975,"9",201.1
1976,"9",791.3
1977,"9",376.4
1978,"9",208.6
1979,"9",275.6
1980,"9",483.4
1981,"9",266.7
1982,"9",543.9
1983,"9",306.7
1984,"9",237.2
1985,"9",363.9
1986,"9",591.9
1987,"9",306.9
1988,"9",295.7
1989,"9",476.2
1990,"9",294.8
1991,"9",491.2
1992,"9",382.6
1993,"9",452.3
1994,"9",515.6
1995,"9",357.1
1996,"9",107.3
1997,"9",308.2
1998,"9",214
1999,"9",243.6
2000,"9",229.3
2001,"9",275.2
2002,"9",440.7
2003,"9",280.7
2004,"9",223.5
2005,"9",504.6
2006,"9",308.6
2007,"9",349.8
2008,"9",342.2
2009,"9",322.9
2010,"9",416.6
2011,"9",115.6
2012,"9",175.1
2013,"9",335.4
2014,"9",341.3
2015,"9",341.9
2016,"9",336.6
2017,"9",188.9
2018,"9",229.1
1958,"10",188.8
1959,"10",308.7
1960,"10",184.7
1961,"10",349.4
1962,"10",515.1
1963,"10",531.9
1964,"10",357.6
1965,"10",390.5
1966,"10",392
1967,"10",362.8
1968,"10",555.5
1969,"10",438.1
1970,"10",334.2
1971,"10",402.5
1972,"10",296.1
1973,"10",346.3
1974,"10",364.7
1975,"10",383
1976,"10",186.1
1977,"10",381.4
1978,"10",395.1
1979,"10",469.2
1980,"10",307.4
1981,"10",413.9
1982,"10",805.8
1983,"10",532.9
1984,"10",498.9
1985,"10",238.1
1986,"10",416.3
1987,"10",399.1
1988,"10",464.4
1989,"10",230.6
1990,"10",331
1991,"10",377
1992,"10",684
1993,"10",420.7
1994,"10",249.5
1995,"10",344.2
1996,"10",392.5
1997,"10",545.2
1998,"10",424.4
1999,"10",601.5
2000,"10",394.8
2001,"10",405.6
2002,"10",289.2
2003,"10",512.7
2004,"10",270.9
2005,"10",389.6
2006,"10",209.9
2007,"10",368.7
2008,"10",405.3
2009,"10",498.6
2010,"10",345.6
2011,"10",453.7
2012,"10",279.6
2013,"10",311.6
2014,"10",223.3
2015,"10",228.7
2016,"10",315.8
2017,"10",325.8
2018,"10",NA
1958,"11",343.1
1959,"11",532.3
1960,"11",261.7
1961,"11",251
1962,"11",682
1963,"11",645.6
1964,"11",400.1
1965,"11",319.2
1966,"11",381.7
1967,"11",672.6
1968,"11",314.5
1969,"11",731.6
1970,"11",549.7
1971,"11",253.1
1972,"11",322.7
1973,"11",600.1
1974,"11",382.1
1975,"11",810
1976,"11",406.5
1977,"11",324.1
1978,"11",376.3
1979,"11",569.1
1980,"11",598.5
1981,"11",901.4
1982,"11",442.5
1983,"11",129.2
1984,"11",401.2
1985,"11",298.6
1986,"11",214.5
1987,"11",406.9
1988,"11",261.3
1989,"11",377.3
1990,"11",515
1991,"11",570.9
1992,"11",240
1993,"11",231.4
1994,"11",543.7
1995,"11",248
1996,"11",463.1
1997,"11",508.2
1998,"11",412.3
