"site","block","plot","plant_code","species","div","c_i","flood","canopy_openness","experiment_final_intermediate","nlvs_per_ind","wilmer_herb_total","alat","plot_richness","dif","divf","plant","final_div","pdiv","precip","temp","pres","finalf"
"Ecuador","none","Plot 1","Planta#6","escabrosa",10,"ind","flood",NA,"final",19,0,NA,NA,NA,"high","Ecuador_Plot 1_Planta#6",11,1,4495,25,0,"high"
"Ecuador","none","Plot 1","Planta#6","escabrosa",10,"ind","flood",NA,"final",19,12,NA,NA,NA,"high","Ecuador_Plot 1_Planta#6",11,1,4495,25,100,"high"
"Ecuador","none","Plot 1","Planta#5","hispidum",10,"ind","flood",NA,"final",18,1,NA,NA,NA,"high","Ecuador_Plot 1_Planta#5",11,1,4495,25,100,"high"
"Ecuador","none","Plot 1","Planta#5","hispidum",10,"ind","flood",NA,"final",18,1,NA,NA,NA,"high","Ecuador_Plot 1_Planta#5",11,1,4495,25,100,"high"
"Ecuador","none","Plot 1","Planta#5","hispidum",10,"ind","flood",NA,"final",18,5,NA,NA,NA,"high","Ecuador_Plot 1_Planta#5",11,1,4495,25,100,"high"
"Ecuador","none","Plot 1","Planta#5","hispidum",10,"ind","flood",NA,"final",18,0,NA,NA,NA,"high","Ecuador_Plot 1_Planta#5",11,1,4495,25,0,"high"
"Ecuador","none","Plot 1","Planta#5","hispidum",10,"ind","flood",NA,"final",18,8,NA,NA,NA,"high","Ecuador_Plot 1_Planta#5",11,1,4495,25,100,"high"
"Ecuador","none","Plot 1","Planta#5","hispidum",10,"ind","flood",NA,"final",18,9,NA,NA,NA,"high","Ecuador_Plot 1_Planta#5",11,1,4495,25,100,"high"
"Ecuador","none","Plot 1","Planta#5","hispidum",10,"ind","flood",NA,"final",18,50,NA,NA,NA,"high","Ecuador_Plot 1_Planta#5",11,1,4495,25,100,"high"
"Ecuador","none","Plot 1","Planta#5","hispidum",10,"ind","flood",NA,"final",18,0,NA,NA,NA,"high","Ecuador_Plot 1_Planta#5",11,1,4495,25,0,"high"
"Ecuador","none","Plot 1","Planta#5","hispidum",10,"ind","flood",NA,"final",18,0,NA,NA,NA,"high","Ecuador_Plot 1_Planta#5",11,1,4495,25,0,"high"
"Ecuador","none","Plot 1","Planta#5","hispidum",10,"ind","flood",NA,"final",18,2,NA,NA,NA,"high","Ecuador_Plot 1_Planta#5",11,1,4495,25,100,"high"
"Ecuador","none","Plot 1","Planta#5","hispidum",10,"ind","flood",NA,"final",18,7,NA,NA,NA,"high","Ecuador_Plot 1_Planta#5",11,1,4495,25,100,"high"
"Ecuador","none","Plot 1","Planta#5","hispidum",10,"ind","flood",NA,"final",18,10,NA,NA,NA,"high","Ecuador_Plot 1_Planta#5",11,1,4495,25,100,"high"
"Ecuador","none","Plot 1","Planta#5","hispidum",10,"ind","flood",NA,"final",18,0,NA,NA,NA,"high","Ecuador_Plot 1_Planta#5",11,1,4495,25,0,"high"
"Ecuador","none","Plot 1","Planta#5","hispidum",10,"ind","flood",NA,"final",18,3,NA,NA,NA,"high","Ecuador_Plot 1_Planta#5",11,1,4495,25,100,"high"
"Ecuador","none","Plot 1","Planta#5","hispidum",10,"ind","flood",NA,"final",18,62,NA,NA,NA,"high","Ecuador_Plot 1_Planta#5",11,1,4495,25,100,"high"
"Ecuador","none","Plot 1","Planta#5","hispidum",10,"ind","flood",NA,"final",18,3,NA,NA,NA,"high","Ecuador_Plot 1_Planta#5",11,1,4495,25,100,"high"
"Ecuador","none","Plot 1","Planta#5","hispidum",10,"ind","flood",NA,"final",18,1,NA,NA,NA,"high","Ecuador_Plot 1_Planta#5",11,1,4495,25,100,"high"
"Ecuador","none","Plot 1","Planta#5","hispidum",10,"ind","flood",NA,"final",18,5,NA,NA,NA,"high","Ecuador_Plot 1_Planta#5",11,1,4495,25,100,"high"
"Ecuador","none","Plot 1","Planta#4","schupii",10,"ind","flood",NA,"final",8,3,NA,NA,NA,"high","Ecuador_Plot 1_Planta#4",11,1,4495,25,100,"high"
"Ecuador","none","Plot 1","Planta#4","schupii",10,"ind","flood",NA,"final",8,0,NA,NA,NA,"high","Ecuador_Plot 1_Planta#4",11,1,4495,25,0,"high"
"Ecuador","none","Plot 1","Planta#4","schupii",10,"ind","flood",NA,"final",8,1,NA,NA,NA,"high","Ecuador_Plot 1_Planta#4",11,1,4495,25,100,"high"
"Ecuador","none","Plot 1","Planta#4","schupii",10,"ind","flood",NA,"final",8,8,NA,NA,NA,"high","Ecuador_Plot 1_Planta#4",11,1,4495,25,100,"high"
"Ecuador","none","Plot 1","Planta#4","schupii",10,"ind","flood",NA,"final",8,0,NA,NA,NA,"high","Ecuador_Plot 1_Planta#4",11,1,4495,25,0,"high"
"Ecuador","none","Plot 1","Planta#4","schupii",10,"ind","flood",NA,"final",8,0,NA,NA,NA,"high","Ecuador_Plot 1_Planta#4",11,1,4495,25,0,"high"
"Ecuador","none","Plot 1","Planta#4","schupii",10,"ind","flood",NA,"final",8,18,NA,NA,NA,"high","Ecuador_Plot 1_Planta#4",11,1,4495,25,100,"high"
"Ecuador","none","Plot 1","Planta#4","schupii",10,"ind","flood",NA,"final",8,0,NA,NA,NA,"high","Ecuador_Plot 1_Planta#4",11,1,4495,25,0,"high"
"Ecuador","none","Plot 1","Planta#3","pubinervulum",10,"ind","flood",NA,"final",15,0,NA,NA,NA,"high","Ecuador_Plot 1_Planta#3",11,1,4495,25,0,"high"
"Ecuador","none","Plot 1","Planta#3","pubinervulum",10,"ind","flood",NA,"final",15,0,NA,NA,NA,"high","Ecuador_Plot 1_Planta#3",11,1,4495,25,0,"high"
"Ecuador","none","Plot 1","Planta#3","pubinervulum",10,"ind","flood",NA,"final",15,18,NA,NA,NA,"high","Ecuador_Plot 1_Planta#3",11,1,4495,25,100,"high"
"Ecuador","none","Plot 1","Planta#3","pubinervulum",10,"ind","flood",NA,"final",15,2,NA,NA,NA,"high","Ecuador_Plot 1_Planta#3",11,1,4495,25,100,"high"
"Ecuador","none","Plot 1","Planta#3","pubinervulum",10,"ind","flood",NA,"final",15,10,NA,NA,NA,"high","Ecuador_Plot 1_Planta#3",11,1,4495,25,100,"high"
"Ecuador","none","Plot 1","Planta#3","pubinervulum",10,"ind","flood",NA,"final",15,58,NA,NA,NA,"high","Ecuador_Plot 1_Planta#3",11,1,4495,25,100,"high"
"Ecuador","none","Plot 1","Planta#3","pubinervulum",10,"ind","flood",NA,"final",15,0,NA,NA,NA,"high","Ecuador_Plot 1_Planta#3",11,1,4495,25,0,"high"
"Ecuador","none","Plot 1","Planta#3","pubinervulum",10,"ind","flood",NA,"final",15,20,NA,NA,NA,"high","Ecuador_Plot 1_Planta#3",11,1,4495,25,100,"high"
"Ecuador","none","Plot 1","Planta#3","pubinervulum",10,"ind","flood",NA,"final",15,56,NA,NA,NA,"high","Ecuador_Plot 1_Planta#3",11,1,4495,25,100,"high"
"Ecuador","none","Plot 1","Planta#3","pubinervulum",10,"ind","flood",NA,"final",15,40,NA,NA,NA,"high","Ecuador_Plot 1_Planta#3",11,1,4495,25,100,"high"
"Ecuador","none","Plot 1","Planta#3","pubinervulum",10,"ind","flood",NA,"final",15,0,NA,NA,NA,"high","Ecuador_Plot 1_Planta#3",11,1,4495,25,0,"high"
"Ecuador","none","Plot 1","Planta#3","pubinervulum",10,"ind","flood",NA,"final",15,2,NA,NA,NA,"high","Ecuador_Plot 1_Planta#3",11,1,4495,25,100,"high"
"Ecuador","none","Plot 1","Planta#3","pubinervulum",10,"ind","flood",NA,"final",15,0,NA,NA,NA,"high","Ecuador_Plot 1_Planta#3",11,1,4495,25,0,"high"
"Ecuador","none","Plot 1","Planta#3","pubinervulum",10,"ind","flood",NA,"final",15,0,NA,NA,NA,"high","Ecuador_Plot 1_Planta#3",11,1,4495,25,0,"high"
"Ecuador","none","Plot 1","Planta#3","pubinervulum",10,"ind","flood",NA,"final",15,0,NA,NA,NA,"high","Ecuador_Plot 1_Planta#3",11,1,4495,25,0,"high"
"Ecuador","none","Plot 1","Planta#2","baezanum",10,"ind","flood",NA,"final",4,45,NA,NA,NA,"high","Ecuador_Plot 1_Planta#2",11,1,4495,25,100,"high"
"Ecuador","none","Plot 1","Planta#2","baezanum",10,"ind","flood",NA,"final",4,20,NA,NA,NA,"high","Ecuador_Plot 1_Planta#2",11,1,4495,25,100,"high"
"Ecuador","none","Plot 1","Planta#2","baezanum",10,"ind","flood",NA,"final",4,0,NA,NA,NA,"high","Ecuador_Plot 1_Planta#2",11,1,4495,25,0,"high"
"Ecuador","none","Plot 1","Planta#2","baezanum",10,"ind","flood",NA,"final",4,60,NA,NA,NA,"high","Ecuador_Plot 1_Planta#2",11,1,4495,25,100,"high"
"Ecuador","none","Plot 1","Planta#12","grande",10,"ind","flood",NA,"final",7,8,NA,NA,NA,"high","Ecuador_Plot 1_Planta#12",11,1,4495,25,100,"high"
"Ecuador","none","Plot 1","Planta#12","grande",10,"ind","flood",NA,"final",7,2,NA,NA,NA,"high","Ecuador_Plot 1_Planta#12",11,1,4495,25,100,"high"
"Ecuador","none","Plot 1","Planta#12","grande",10,"ind","flood",NA,"final",7,1,NA,NA,NA,"high","Ecuador_Plot 1_Planta#12",11,1,4495,25,100,"high"
"Ecuador","none","Plot 1","Planta#12","grande",10,"ind","flood",NA,"final",7,4,NA,NA,NA,"high","Ecuador_Plot 1_Planta#12",11,1,4495,25,100,"high"
"Ecuador","none","Plot 1","Planta#12","grande",10,"ind","flood",NA,"final",7,24,NA,NA,NA,"high","Ecuador_Plot 1_Planta#12",11,1,4495,25,100,"high"
"Ecuador","none","Plot 1","Planta#12","grande",10,"ind","flood",NA,"final",7,6,NA,NA,NA,"high","Ecuador_Plot 1_Planta#12",11,1,4495,25,100,"high"
"Ecuador","none","Plot 1","Planta#12","grande",10,"ind","flood",NA,"final",7,7,NA,NA,NA,"high","Ecuador_Plot 1_Planta#12",11,1,4495,25,100,"high"
"Ecuador","none","Plot 1","Planta#11","pequenia",10,"ind","flood",NA,"final",10,6,NA,NA,NA,"high","Ecuador_Plot 1_Planta#11",11,1,4495,25,100,"high"
"Ecuador","none","Plot 1","Planta#11","pequenia",10,"ind","flood",NA,"final",10,0,NA,NA,NA,"high","Ecuador_Plot 1_Planta#11",11,1,4495,25,0,"high"
"Ecuador","none","Plot 1","Planta#11","pequenia",10,"ind","flood",NA,"final",10,2,NA,NA,NA,"high","Ecuador_Plot 1_Planta#11",11,1,4495,25,100,"high"
"Ecuador","none","Plot 1","Planta#11","pequenia",10,"ind","flood",NA,"final",10,0,NA,NA,NA,"high","Ecuador_Plot 1_Planta#11",11,1,4495,25,0,"high"
"Ecuador","none","Plot 1","Planta#11","pequenia",10,"ind","flood",NA,"final",10,0,NA,NA,NA,"high","Ecuador_Plot 1_Planta#11",11,1,4495,25,0,"high"
"Ecuador","none","Plot 1","Planta#11","pequenia",10,"ind","flood",NA,"final",10,1,NA,NA,NA,"high","Ecuador_Plot 1_Planta#11",11,1,4495,25,100,"high"
"Ecuador","none","Plot 1","Planta#11","pequenia",10,"ind","flood",NA,"final",10,1,NA,NA,NA,"high","Ecuador_Plot 1_Planta#11",11,1,4495,25,100,"high"
"Ecuador","none","Plot 1","Planta#11","pequenia",10,"ind","flood",NA,"final",10,0,NA,NA,NA,"high","Ecuador_Plot 1_Planta#11",11,1,4495,25,0,"high"
"Ecuador","none","Plot 1","Planta#11","pequenia",10,"ind","flood",NA,"final",10,0,NA,NA,NA,"high","Ecuador_Plot 1_Planta#11",11,1,4495,25,0,"high"
"Ecuador","none","Plot 1","Planta#11","pequenia",10,"ind","flood",NA,"final",10,0,NA,NA,NA,"high","Ecuador_Plot 1_Planta#11",11,1,4495,25,0,"high"
"Ecuador","none","Plot 1","Planta#10","peludo",10,"ind","flood",NA,"final",8,8,NA,NA,NA,"high","Ecuador_Plot 1_Planta#10",11,1,4495,25,100,"high"
"Ecuador","none","Plot 1","Planta#10","peludo",10,"ind","flood",NA,"final",8,4,NA,NA,NA,"high","Ecuador_Plot 1_Planta#10",11,1,4495,25,100,"high"
"Ecuador","none","Plot 1","Planta#10","peludo",10,"ind","flood",NA,"final",8,0,NA,NA,NA,"high","Ecuador_Plot 1_Planta#10",11,1,4495,25,0,"high"
"Ecuador","none","Plot 1","Planta#10","peludo",10,"ind","flood",NA,"final",8,14,NA,NA,NA,"high","Ecuador_Plot 1_Planta#10",11,1,4495,25,100,"high"
"Ecuador","none","Plot 1","Planta#10","peludo",10,"ind","flood",NA,"final",8,50,NA,NA,NA,"high","Ecuador_Plot 1_Planta#10",11,1,4495,25,100,"high"
"Ecuador","none","Plot 1","Planta#10","peludo",10,"ind","flood",NA,"final",8,52,NA,NA,NA,"high","Ecuador_Plot 1_Planta#10",11,1,4495,25,100,"high"
"Ecuador","none","Plot 1","Planta#10","peludo",10,"ind","flood",NA,"final",8,40,NA,NA,NA,"high","Ecuador_Plot 1_Planta#10",11,1,4495,25,100,"high"
"Ecuador","none","Plot 1","Planta#10","peludo",10,"ind","flood",NA,"final",8,0,NA,NA,NA,"high","Ecuador_Plot 1_Planta#10",11,1,4495,25,0,"high"
"Ecuador","none","Plot 1","Planta#1","kelleii",10,"ind","flood",NA,"final",5,2,NA,NA,NA,"high","Ecuador_Plot 1_Planta#1",11,1,4495,25,100,"high"
"Ecuador","none","Plot 1","Planta#1","kelleii",10,"ind","flood",NA,"final",5,15,NA,NA,NA,"high","Ecuador_Plot 1_Planta#1",11,1,4495,25,100,"high"
"Ecuador","none","Plot 1","Planta#1","kelleii",10,"ind","flood",NA,"final",5,2,NA,NA,NA,"high","Ecuador_Plot 1_Planta#1",11,1,4495,25,100,"high"
"Ecuador","none","Plot 1","Planta#1","kelleii",10,"ind","flood",NA,"final",5,40,NA,NA,NA,"high","Ecuador_Plot 1_Planta#1",11,1,4495,25,100,"high"
"Ecuador","none","Plot 1","Planta#1","kelleii",10,"ind","flood",NA,"final",5,1,NA,NA,NA,"high","Ecuador_Plot 1_Planta#1",11,1,4495,25,100,"high"
"Ecuador","none","Plot 10","Planta#120","pequenia",2,"clone","flood",NA,"final",14,0,NA,NA,NA,"medium","Ecuador_Plot 10_Planta#120",2,0.2,4495,25,0,"medium"
"Ecuador","none","Plot 10","Planta#120","pequenia",2,"clone","flood",NA,"final",14,6,NA,NA,NA,"medium","Ecuador_Plot 10_Planta#120",2,0.2,4495,25,100,"medium"
"Ecuador","none","Plot 10","Planta#120","pequenia",2,"clone","flood",NA,"final",14,2,NA,NA,NA,"medium","Ecuador_Plot 10_Planta#120",2,0.2,4495,25,100,"medium"
"Ecuador","none","Plot 10","Planta#120","pequenia",2,"clone","flood",NA,"final",14,8,NA,NA,NA,"medium","Ecuador_Plot 10_Planta#120",2,0.2,4495,25,100,"medium"
"Ecuador","none","Plot 10","Planta#120","pequenia",2,"clone","flood",NA,"final",14,1,NA,NA,NA,"medium","Ecuador_Plot 10_Planta#120",2,0.2,4495,25,100,"medium"
"Ecuador","none","Plot 10","Planta#120","pequenia",2,"clone","flood",NA,"final",14,3,NA,NA,NA,"medium","Ecuador_Plot 10_Planta#120",2,0.2,4495,25,100,"medium"
"Ecuador","none","Plot 10","Planta#120","pequenia",2,"clone","flood",NA,"final",14,8,NA,NA,NA,"medium","Ecuador_Plot 10_Planta#120",2,0.2,4495,25,100,"medium"
"Ecuador","none","Plot 10","Planta#120","pequenia",2,"clone","flood",NA,"final",14,25,NA,NA,NA,"medium","Ecuador_Plot 10_Planta#120",2,0.2,4495,25,100,"medium"
"Ecuador","none","Plot 10","Planta#120","pequenia",2,"clone","flood",NA,"final",14,0,NA,NA,NA,"medium","Ecuador_Plot 10_Planta#120",2,0.2,4495,25,0,"medium"
"Ecuador","none","Plot 10","Planta#120","pequenia",2,"clone","flood",NA,"final",14,60,NA,NA,NA,"medium","Ecuador_Plot 10_Planta#120",2,0.2,4495,25,100,"medium"
"Ecuador","none","Plot 10","Planta#120","pequenia",2,"clone","flood",NA,"final",14,55,NA,NA,NA,"medium","Ecuador_Plot 10_Planta#120",2,0.2,4495,25,100,"medium"
"Ecuador","none","Plot 10","Planta#120","pequenia",2,"clone","flood",NA,"final",14,0,NA,NA,NA,"medium","Ecuador_Plot 10_Planta#120",2,0.2,4495,25,0,"medium"
"Ecuador","none","Plot 10","Planta#120","pequenia",2,"clone","flood",NA,"final",14,90,NA,NA,NA,"medium","Ecuador_Plot 10_Planta#120",2,0.2,4495,25,100,"medium"
"Ecuador","none","Plot 10","Planta#120","pequenia",2,"clone","flood",NA,"final",14,0,NA,NA,NA,"medium","Ecuador_Plot 10_Planta#120",2,0.2,4495,25,0,"medium"
"Ecuador","none","Plot 10","Planta#119","pequenia",2,"clone","flood",NA,"final",15,10,NA,NA,NA,"medium","Ecuador_Plot 10_Planta#119",2,0.2,4495,25,100,"medium"
"Ecuador","none","Plot 10","Planta#119","pequenia",2,"clone","flood",NA,"final",15,60,NA,NA,NA,"medium","Ecuador_Plot 10_Planta#119",2,0.2,4495,25,100,"medium"
"Ecuador","none","Plot 10","Planta#119","pequenia",2,"clone","flood",NA,"final",15,50,NA,NA,NA,"medium","Ecuador_Plot 10_Planta#119",2,0.2,4495,25,100,"medium"
"Ecuador","none","Plot 10","Planta#119","pequenia",2,"clone","flood",NA,"final",15,0,NA,NA,NA,"medium","Ecuador_Plot 10_Planta#119",2,0.2,4495,25,0,"medium"
"Ecuador","none","Plot 10","Planta#119","pequenia",2,"clone","flood",NA,"final",15,90,NA,NA,NA,"medium","Ecuador_Plot 10_Planta#119",2,0.2,4495,25,100,"medium"
"Ecuador","none","Plot 10","Planta#119","pequenia",2,"clone","flood",NA,"final",15,75,NA,NA,NA,"medium","Ecuador_Plot 10_Planta#119",2,0.2,4495,25,100,"medium"
"Ecuador","none","Plot 10","Planta#119","pequenia",2,"clone","flood",NA,"final",15,0,NA,NA,NA,"medium","Ecuador_Plot 10_Planta#119",2,0.2,4495,25,0,"medium"
"Ecuador","none","Plot 10","Planta#119","pequenia",2,"clone","flood",NA,"final",15,0,NA,NA,NA,"medium","Ecuador_Plot 10_Planta#119",2,0.2,4495,25,0,"medium"
"Ecuador","none","Plot 10","Planta#119","pequenia",2,"clone","flood",NA,"final",15,12,NA,NA,NA,"medium","Ecuador_Plot 10_Planta#119",2,0.2,4495,25,100,"medium"
"Ecuador","none","Plot 10","Planta#119","pequenia",2,"clone","flood",NA,"final",15,0,NA,NA,NA,"medium","Ecuador_Plot 10_Planta#119",2,0.2,4495,25,0,"medium"
"Ecuador","none","Plot 10","Planta#119","pequenia",2,"clone","flood",NA,"final",15,70,NA,NA,NA,"medium","Ecuador_Plot 10_Planta#119",2,0.2,4495,25,100,"medium"
"Ecuador","none","Plot 10","Planta#119","pequenia",2,"clone","flood",NA,"final",15,14,NA,NA,NA,"medium","Ecuador_Plot 10_Planta#119",2,0.2,4495,25,100,"medium"
"Ecuador","none","Plot 10","Planta#119","pequenia",2,"clone","flood",NA,"final",15,60,NA,NA,NA,"medium","Ecuador_Plot 10_Planta#119",2,0.2,4495,25,100,"medium"
"Ecuador","none","Plot 10","Planta#119","pequenia",2,"clone","flood",NA,"final",15,70,NA,NA,NA,"medium","Ecuador_Plot 10_Planta#119",2,0.2,4495,25,100,"medium"
"Ecuador","none","Plot 10","Planta#119","pequenia",2,"clone","flood",NA,"final",15,30,NA,NA,NA,"medium","Ecuador_Plot 10_Planta#119",2,0.2,4495,25,100,"medium"
"Ecuador","none","Plot 10","Planta#118","pequenia",2,"clone","flood",NA,"final",14,12,NA,NA,NA,"medium","Ecuador_Plot 10_Planta#118",2,0.2,4495,25,100,"medium"
"Ecuador","none","Plot 10","Planta#118","pequenia",2,"clone","flood",NA,"final",14,0,NA,NA,NA,"medium","Ecuador_Plot 10_Planta#118",2,0.2,4495,25,0,"medium"
"Ecuador","none","Plot 10","Planta#118","pequenia",2,"clone","flood",NA,"final",14,0,NA,NA,NA,"medium","Ecuador_Plot 10_Planta#118",2,0.2,4495,25,0,"medium"
"Ecuador","none","Plot 10","Planta#118","pequenia",2,"clone","flood",NA,"final",14,50,NA,NA,NA,"medium","Ecuador_Plot 10_Planta#118",2,0.2,4495,25,100,"medium"
"Ecuador","none","Plot 10","Planta#118","pequenia",2,"clone","flood",NA,"final",14,30,NA,NA,NA,"medium","Ecuador_Plot 10_Planta#118",2,0.2,4495,25,100,"medium"
"Ecuador","none","Plot 10","Planta#118","pequenia",2,"clone","flood",NA,"final",14,2,NA,NA,NA,"medium","Ecuador_Plot 10_Planta#118",2,0.2,4495,25,100,"medium"
"Ecuador","none","Plot 10","Planta#118","pequenia",2,"clone","flood",NA,"final",14,0,NA,NA,NA,"medium","Ecuador_Plot 10_Planta#118",2,0.2,4495,25,0,"medium"
"Ecuador","none","Plot 10","Planta#118","pequenia",2,"clone","flood",NA,"final",14,0,NA,NA,NA,"medium","Ecuador_Plot 10_Planta#118",2,0.2,4495,25,0,"medium"
"Ecuador","none","Plot 10","Planta#118","pequenia",2,"clone","flood",NA,"final",14,30,NA,NA,NA,"medium","Ecuador_Plot 10_Planta#118",2,0.2,4495,25,100,"medium"
"Ecuador","none","Plot 10","Planta#118","pequenia",2,"clone","flood",NA,"final",14,35,NA,NA,NA,"medium","Ecuador_Plot 10_Planta#118",2,0.2,4495,25,100,"medium"
"Ecuador","none","Plot 10","Planta#118","pequenia",2,"clone","flood",NA,"final",14,50,NA,NA,NA,"medium","Ecuador_Plot 10_Planta#118",2,0.2,4495,25,100,"medium"
